top - 00:04:26 up  1:26,  1 user,  load average: 0.01, 0.09, 0.15
Tasks: 316 total,   1 running, 315 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  0.0 sy,  0.0 ni,100.0 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3867.7 total,    202.3 free,   2134.5 used,   1715.4 buff/cache     
MiB Swap:   3771.0 total,   3770.5 free,      0.5 used.   1733.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4139 root      20   0  614768  44356  37696 S   0.0   1.1   0:01.20 fwupd
   4180 root       0 -20       0      0      0 I   0.0   0.0   0:00.21 kworker+
   4194 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4195 root      20   0       0      0      0 I   0.0   0.0   0:00.14 kworker+
   4213 root      20   0       0      0      0 I   0.0   0.0   0:00.98 kworker+
   4346 root      20   0       0      0      0 I   0.0   0.0   0:00.37 kworker+
   4350 dev-onb+  20   0   11.4g 612904 222064 S   0.0  15.5   1:21.87 firefox
   4413 dev-onb+  20   0   21288   4460   4076 S   0.0   0.1   0:00.00 crashhe+
   4481 dev-onb+  20   0  295808  34280  25704 S   0.0   0.9   0:00.06 forkser+
   4486 dev-onb+  20   0  309180  41736  31832 S   0.0   1.1   0:00.65 Socket +
   4514 dev-onb+  20   0 2698284 295940  90076 S   0.0   7.5   0:13.47 Privile+
   4524 dev-onb+  20   0  443504  50032  37944 S   0.0   1.3   0:00.06 RDD Pro+
   4852 dev-onb+  20   0 2455352  88936  66276 S   0.0   2.2   0:00.62 WebExte+
   5064 dev-onb+  20   0  441956  48064  36360 S   0.0   1.2   0:00.06 Utility+
   5075 dev-onb+  20   0 3112648 486700 129200 S   0.0  12.3   0:47.12 Isolate+
   5288 dev-onb+  20   0 2418268  67492  53480 S   0.0   1.7   0:00.86 Web Con+
   5319 root      20   0       0      0      0 I   0.0   0.0   0:00.96 kworker+
   5323 dev-onb+  20   0 2418940  68244  53588 S   0.0   1.7   0:00.87 Web Con+
   5356 dev-onb+  20   0 2418940  67736  53592 S   0.0   1.7   0:00.82 Web Con+
   5668 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
